Seller ID,Sellers Main Category,Sign-up Time,Activation Time,1st Listing,1st Salable,1st Transaction,phe duyet,sau thu tuc,chuan bi,san pham dau tien
277,BBFF,5/3/2018,6/7/2018,7/11/2018,7/19/2018,10/18/2018,35,168,8,91
278,BBFF,5/24/2018,8/10/2018,8/8/2018,8/9/2018,8/14/2018,78,82,1,5
279,LifeStyle,6/7/2018,6/27/2018,8/22/2018,8/23/2018,8/26/2018,20,80,1,3
280,BBFF,6/8/2018,8/10/2018,6/22/2018,8/24/2018,8/24/2018,63,77,63,0
281,BBFF,7/2/2018,9/17/2018,9/11/2018,9/17/2018,9/20/2018,77,80,6,3
282,BBFF,7/26/2018,7/29/2018,8/20/2018,10/11/2018,10/16/2018,3,82,52,5
283,Electronic,3/28/2018,4/20/2018,6/2/2018,6/12/2018,6/15/2018,23,79,10,3
284,BBFF,3/22/2018,3/29/2018,4/4/2018,6/5/2018,6/15/2018,7,85,62,10
285,BBFF,3/23/2018,3/29/2018,6/5/2018,6/6/2018,6/6/2018,6,75,1,0
286,Electronic,4/6/2018,4/27/2018,4/9/2018,6/20/2018,6/26/2018,21,81,72,6
287,BBFF,5/8/2018,5/14/2018,7/11/2018,7/22/2018,7/20/2018,6,73,11,-2
288,BBFF,5/8/2018,5/14/2018,7/16/2018,7/22/2018,7/21/2018,6,74,6,-1
289,LifeStyle,5/12/2018,7/12/2018,6/28/2018,7/26/2018,7/27/2018,61,76,28,1
290,BBFF,6/3/2018,7/18/2018,8/16/2018,8/17/2018,8/16/2018,45,74,1,-1
291,Book,7/6/2018,7/11/2018,7/22/2018,9/19/2018,9/20/2018,5,76,59,1
292,Electronic,7/26/2018,8/21/2018,8/21/2018,10/9/2018,10/12/2018,26,78,49,3
293,BBFF,1/29/2018,3/7/2018,2/9/2018,4/13/2018,4/14/2018,37,75,63,1
294,BBFF,3/24/2018,3/30/2018,6/5/2018,6/6/2018,6/12/2018,6,80,1,6
295,Electronic,5/9/2018,7/5/2018,7/19/2018,7/22/2018,7/31/2018,57,83,3,9
296,BBFF,5/14/2018,5/17/2018,6/15/2018,7/27/2018,7/26/2018,3,73,42,-1
297,LifeStyle,7/8/2018,7/26/2018,9/19/2018,9/20/2018,10/16/2018,18,100,1,26
298,Digital Service,1/30/2018,4/10/2018,4/10/2018,4/13/2018,5/15/2018,70,105,3,32
299,Book,3/23/2018,3/29/2018,5/21/2018,6/4/2018,6/4/2018,6,73,14,0
300,BBFF,3/30/2018,4/11/2018,5/11/2018,6/11/2018,6/12/2018,12,74,31,1
301,LifeStyle,4/27/2018,5/22/2018,7/6/2018,7/9/2018,8/7/2018,25,102,3,29
302,BBFF,5/16/2018,6/28/2018,7/3/2018,7/28/2018,8/4/2018,43,80,25,7
303,Electronic,5/20/2018,7/20/2018,7/13/2018,8/1/2018,8/3/2018,61,75,19,2
304,BBFF,6/6/2018,8/17/2018,8/17/2018,8/18/2018,8/25/2018,72,80,1,7
305,LifeStyle,6/12/2018,6/27/2018,8/9/2018,8/24/2018,8/23/2018,15,72,15,-1
306,BBFF,6/14/2018,6/22/2018,8/24/2018,8/26/2018,8/30/2018,8,77,2,4
307,Electronic,6/19/2018,8/22/2018,8/22/2018,8/31/2018,9/15/2018,64,88,9,15
308,BBFF,6/29/2018,7/6/2018,8/1/2018,9/10/2018,9/11/2018,7,74,40,1
309,Electronic,3/19/2018,3/28/2018,5/16/2018,5/30/2018,6/3/2018,9,76,14,4
310,BBFF,3/29/2018,4/12/2018,4/9/2018,6/9/2018,6/11/2018,14,74,61,2
311,Electronic,3/31/2018,4/17/2018,5/29/2018,6/11/2018,6/15/2018,17,76,13,4
